scene_start,scene_end,audio_energy,motion_activity,speech_detected,score
1016.0,1021.6,375,823737,True,750.0
1021.6,1022.7333333333333,107,498748,True,214.0
1022.7333333333333,1024.0,1366,361401,True,2732.0
1024.0,1024.8666666666666,878,299780,True,1756.0
1024.8666666666666,1026.0666666666666,658,424063,True,1316.0
1026.0666666666666,1035.4,668,777133,True,1336.0
1035.4,1036.8,1344,285191,True,2688.0
1036.8,1044.2,585,956005,True,1170.0
1044.2,1045.0,150,155024,True,300.0
1045.0,1045.8,521,204429,True,1042.0
1045.8,1047.8,635,213746,True,1270.0
1047.8,1049.6,698,256004,True,1396.0
1049.6,1051.8,790,442491,True,1580.0
1051.8,1054.8,443,332028,True,886.0
1054.8,1059.2666666666667,273,861392,True,546.0
1059.2666666666667,1060.5333333333333,992,377008,True,1984.0
1060.5333333333333,1062.0,520,371996,True,1040.0
1062.0,1066.0666666666666,390,635316,True,780.0
1066.0666666666666,1067.0666666666666,585,217985,True,1170.0
1067.0666666666666,1069.5333333333333,432,472854,True,864.0
1069.5333333333333,1071.2,666,529404,True,1332.0
1071.2,1072.6666666666667,659,483526,True,1318.0
1072.6666666666667,1074.2,533,432939,True,1066.0
1074.2,1079.5333333333333,473,261526,True,946.0
1079.5333333333333,1085.0,716,494980,True,1432.0
1085.0,1085.8666666666666,429,262954,True,858.0
1085.8666666666666,1094.6,779,624950,True,1558.0
1094.6,1096.6666666666667,2884,336004,True,5768.0
1096.6666666666667,1098.1333333333332,2849,177464,True,5698.0
1098.1333333333332,1100.4,2496,408609,True,4992.0
1100.4,1102.7333333333333,1516,364695,True,3032.0
1102.7333333333333,1104.6,1026,406376,True,2052.0
1104.6,1107.6,2112,515756,True,4224.0
1107.6,1112.7333333333333,3134,400115,True,6268.0
1112.7333333333333,1122.2666666666667,2020,1062137,True,4040.0
1122.2666666666667,1133.0,1810,1109462,True,3620.0
1133.0,1145.2666666666667,1820,843486,True,3640.0
1145.2666666666667,1147.3333333333333,1411,242620,True,2822.0
1147.3333333333333,1148.2666666666667,3380,294006,True,6760.0
1148.2666666666667,1150.8666666666666,2855,418077,True,5710.0
1150.8666666666666,1156.2666666666667,1816,409924,True,3632.0
1156.2666666666667,1158.9333333333334,1566,485450,True,3132.0
1158.9333333333334,1167.8,780,528292,True,1560.0
1167.8,1169.5333333333333,490,207307,True,980.0
1169.5333333333333,1172.8666666666666,483,374933,True,966.0
1172.8666666666666,1174.2666666666667,441,335215,True,882.0
1174.2666666666667,1177.0,569,346812,True,1138.0
1177.0,1177.9333333333334,2009,388818,True,4018.0
1177.9333333333334,1179.2,1317,326061,True,2634.0
1179.2,1185.6666666666667,1226,437261,True,2452.0
1185.6666666666667,1186.9333333333334,1104,523102,True,2208.0
1186.9333333333334,1190.7333333333333,251,486882,True,502.0
1190.7333333333333,1194.3333333333333,213,858311,True,426.0
1194.3333333333333,1195.0,278,219478,True,556.0
1195.0,1199.8666666666666,295,497936,True,590.0
1199.8666666666666,1200.4666666666667,88,222520,True,176.0
1200.4666666666667,1202.6,81,294667,True,162.0
1202.6,1204.8,338,225701,True,676.0
1204.8,1205.6,281,384379,True,562.0
1205.6,1208.0,193,433567,True,386.0
1208.0,1209.1333333333332,1451,302019,True,2902.0
1209.1333333333332,1214.8666666666666,994,893552,True,1988.0
1214.8666666666666,1232.8,1556,1290430,True,3112.0
1232.8,1253.1333333333332,1575,1556592,True,3150.0
1253.1333333333332,1255.6,1393,238274,True,2786.0
1255.6,1263.7333333333333,1418,425779,True,2836.0
1263.7333333333333,1276.4,544,509164,True,1088.0
1276.4,1277.2,147,83291,True,294.0
1277.2,1282.4,503,226302,True,1006.0
1282.4,1284.9333333333334,113,183209,True,226.0
1284.9333333333334,1286.4,93,137704,True,186.0
1286.4,1287.1333333333332,121,106392,True,242.0
1287.1333333333332,1290.6666666666667,1043,204407,True,2086.0
1290.6666666666667,1291.6666666666667,343,215575,True,686.0
1291.6666666666667,1293.0,273,191284,True,546.0
1293.0,1294.2666666666667,709,121194,True,1418.0
1294.2666666666667,1297.6,299,229430,True,598.0
1297.6,1302.6,530,408650,True,1060.0
1302.6,1305.9333333333334,746,345969,True,1492.0
1305.9333333333334,1307.9333333333334,1059,380953,True,2118.0
1307.9333333333334,1310.2666666666667,1752,371278,True,3504.0
1310.2666666666667,1311.3333333333333,1096,126958,True,2192.0
1311.3333333333333,1311.8666666666666,1141,140361,True,2282.0
1311.8666666666666,1313.6,1888,258144,True,3776.0
1313.6,1319.3333333333333,1789,342550,True,3578.0
1319.3333333333333,1331.0,1154,866547,True,2308.0
1331.0,1338.8,914,790801,True,1828.0
1338.8,1349.9333333333334,902,756175,True,1804.0
1349.9333333333334,1351.8666666666666,462,185905,True,924.0
1351.8666666666666,1353.4,330,231953,True,660.0
1353.4,1354.2,528,140922,True,1056.0
1354.2,1355.0,593,95159,True,1186.0
1355.0,1372.6,891,1460138,True,1782.0
1372.6,1375.8666666666666,1340,375098,True,2680.0
1375.8666666666666,1376.4,564,178820,True,1128.0
1376.4,1376.9333333333334,357,132477,True,714.0
1376.9333333333334,1378.9333333333334,1598,269032,True,3196.0
1378.9333333333334,1379.9333333333334,1303,158877,True,2606.0
1379.9333333333334,1380.8666666666666,1212,203973,True,2424.0
1380.8666666666666,1386.6666666666667,671,674080,True,1342.0
1386.6666666666667,1388.0666666666666,1322,246691,True,2644.0
1388.0666666666666,1389.0,573,151133,True,1146.0
1389.0,1390.3333333333333,2204,125394,True,4408.0
1390.3333333333333,1395.8,1310,326304,True,2620.0
1395.8,1398.2,914,265567,True,1828.0
1398.2,1403.6,1044,434911,True,2088.0
1403.6,1408.4,860,387268,True,1720.0
1408.4,1415.1333333333332,1523,362412,True,3046.0
1415.1333333333332,1415.6666666666667,704,201105,True,1408.0
1415.6666666666667,1416.2,772,143772,True,1544.0
1416.2,1422.0666666666666,1143,453486,True,2286.0
1422.0666666666666,1425.8,1795,473510,True,3590.0
1425.8,1426.8666666666666,1033,253603,True,2066.0
1426.8666666666666,1429.1333333333332,1506,232203,True,3012.0
1429.1333333333332,1435.3333333333333,1551,651843,True,3102.0
1435.3333333333333,1437.5333333333333,1490,201097,True,2980.0
1437.5333333333333,1441.2666666666667,1438,246843,True,2876.0
1441.2666666666667,1451.0666666666666,1180,341017,True,2360.0
1451.0666666666666,1455.6666666666667,1567,401980,True,3134.0
1455.6666666666667,1457.6,1059,228024,True,2118.0
1457.6,1458.2,1165,146655,True,2330.0
1458.2,1460.0,2118,272714,True,4236.0
1460.0,1498.4666666666667,2364,1326093,True,4728.0
1498.4666666666667,1501.3333333333333,1722,456825,True,3444.0
1501.3333333333333,1511.7333333333333,1574,345232,True,3148.0
1511.7333333333333,1512.9333333333334,1929,186016,True,3858.0
1512.9333333333334,1514.0,1446,289471,True,2892.0
1514.0,1515.4666666666667,1057,204302,False,2114.0
1515.4666666666667,1524.9333333333334,1709,880187,True,3418.0
1524.9333333333334,1525.4666666666667,2291,412870,True,4582.0
1525.4666666666667,1526.0,1741,252558,True,3482.0
1526.0,1528.8,2046,263576,True,4092.0
1528.8,1534.2666666666667,1560,472519,True,3120.0
1534.2666666666667,1536.8,971,491363,False,1942.0
1536.8,1541.8666666666666,1419,450292,True,2838.0
1541.8666666666666,1542.8666666666666,2815,186217,True,5630.0
1542.8666666666666,1545.0666666666666,1885,180740,True,3770.0
1545.0666666666666,1546.7333333333333,2568,193438,True,5136.0
1546.7333333333333,1549.7333333333333,1451,385514,True,2902.0
1549.7333333333333,1553.1333333333332,763,482824,True,1526.0
